"Level","FullPartial","PlayerTeamScore","OpponentTeamScore","Eliminations","Deaths","Score","Damage","TotalXP","XPType","Mode","Game"
"Standoff","Full",67,100,13,16,2650,364,13341,"Double","HardCore","TDM"
"Drive-In","Full",79,95,20,8,5405,552,11833,"Double","HardCore","TDM"
"Collateral Strike","Full",100,74,14,15,2210,392,17576,"Double","HardCore","TDM"
"Rush","Full",100,87,14,10,2420,435,11546,"Regular","HardCore","TDM"
"Hijacked","Full",100,80,13,8,2910,412,6995,"Regular","HardCore","TDM"
"Slums","Partial",98,100,14,6,5540,388,7373,"Regular","HardCore","TDM"
"Diesel","Full",85,100,12,17,1820,313,5739,"Regular","HardCore","TDM"
"Yamantau","Full",100,70,12,12,2930,332,7160,"Regular","HardCore","TDM"
"Checkmate","Full",79,100,4,16,500,121,3795,"Regular","HardCore","TDM"
"Moscow","Full",100,51,27,8,5110,746,9795,"Regular","HardCore","TDM"
"Slums","Full",75,100,13,14,2825,415,11024,"Regular","HardCore","TDM"
"Rush","Full",100,56,19,12,2720,507,7773,"Regular","HardCore","TDM"
"Collateral Strike","Full",100,99,22,11,4725,621,26395,"Double","HardCore","TDM"
"Standoff","Full",97,100,13,15,1540,388,8598,"Regular","HardCore","TDM"
"Checkmate","Full",80,91,15,18,3175,509,8099,"Regular","HardCore","TDM"
"Echelon","Full",52,100,13,21,2005,342,5613,"Regular","HardCore","TDM"
"Diesel","Full",86,100,17,13,4620,475,13480,"Double","HardCore","TDM"
"Raid","Full",100,91,18,15,4115,551,16025,"Double","HardCore","TDM"
"Rush","Full",100,71,35,12,7235,960,21120,"Double","HardCore","TDM"
"Checkmate","Full",93,72,15,9,2240,411,11622,"Regular","HardCore","TDM"
"Crossroads Strike","Full",55,100,18,18,2645,517,7334,"Regular","HardCore","TDM"
"Apocalypse","Full",85,100,10,21,1675,280,6035,"Regular","HardCore","TDM"
"Rush","Full",100,94,18,17,2780,504,7435,"Regular","HardCore","TDM"
"Garrison","Full",81,100,18,12,3100,454,9398,"Regular","HardCore","TDM"
"Cartel","Full",66,91,17,15,2735,452,8549,"Regular","HardCore","TDM"
"Yamantau","Full",73,100,17,16,2475,492,12253,"Double","HardCore","TDM"
"The Pines","Full",68,100,18,13,3480,469,32725,"Double","HardCore","TDM"
"Drive-In","Full",100,98,16,12,7200,448,36774,"Double","HardCore","TDM"
"Cartel","Full",84,74,12,9,3245,336,8164,"Regular","HardCore","TDM"
"Diesel","Full",100,71,12,12,1980,336,18121,"Double","HardCore","TDM"
"Checkmate","Full",100,85,19,15,2685,531,18958,"Double","HardCore","TDM"
"Crossroads Strike","Full",100,90,15,15,1865,396,14719,"Double","HardCore","TDM"
"Nuketown '84","Full",100,88,19,13,3590,525,14296,"Double","HardCore","TDM"
"Slums","Partial",99,81,7,6,950,169,8283,"Double","HardCore","TDM"
"Hijacked","Full",100,92,10,30,815,304,11614,"Double","HardCore","TDM"
"Rush","Full",78,100,14,12,3125,356,11288,"Double","HardCore","TDM"
"Nuketown '84","Full",72,100,14,20,2220,419,10870,"Double","HardCore","TDM"
"Standoff","Full",66,85,12,21,2086,336,15175,"Double","HardCore","TDM"
"Diesel","Full",100,83,22,14,2885,599,9212,"Regular","HardCore","TDM"
"The Pines","Full",92,84,14,13,3795,365,10911,"Regular","HardCore","TDM"
"Zoo","Full",77,100,12,21,1490,336,11234,"Regular","HardCore","TDM"
"Apocalypse","Full",100,92,24,15,5195,672,12015,"Regular","HardCore","TDM"
"Diesel","Full",92,100,18,16,4805,481,9966,"Regular","HardCore","TDM"
"Zoo","Partial",94,100,14,21,2285,358,9059,"Regular","HardCore","TDM"
"Collateral Strike","Full",84,100,12,13,2540,334,8603,"Regular","HardCore","TDM"
"Rush","Full",58,100,15,12,3120,400,6099,"Regular","HardCore","TDM"
"Raid","Full",100,86,27,17,6880,757,11745,"Regular","HardCore","TDM"
"Standoff","Full",69,100,21,12,7315,580,7383,"Regular","HardCore","TDM"
"Nuketown '84","Full",100,68,29,14,5120,761,43816,"Double","HardCore","TDM"
"Diesel","Full",100,93,13,18,2360,355,6527,"Regular","HardCore","TDM"
"Raid","Full",79,100,15,23,2840,397,7433,"Regular","HardCore","TDM"
"Garrison","Full",65,100,13,18,2870,364,9330,"Regular","HardCore","TDM"
"Diesel","Full",100,94,18,15,2985,491,10364,"Regular","HardCore","TDM"
"Jungle","Partial",58,79,2,5,100,56,1935,"Regular","HardCore","TDM"
"Miami Strike","Full",100,85,14,14,2515,377,6138,"Regular","HardCore","TDM"
"Checkmate","Full",83,100,15,11,3595,392,8745,"Regular","HardCore","TDM"
"Crossroads Strike","Full",100,63,26,15,5110,735,11520,"Regular","HardCore","TDM"
"Echelon","Full",87,99,18,18,2325,504,13442,"Regular","HardCore","TDM"
"Rush","Full",76,100,15,19,2500,408,6554,"Regular","HardCore","TDM"
"Standoff","Full",100,90,14,14,3180,392,9185,"Regular","HardCore","TDM"
"Zoo","Full",100,65,16,12,3245,448,11002,"Regular","HardCore","TDM"
"Collateral Strike","Full",85,100,9,15,1775,252,5581,"Regular","HardCore","TDM"
"Raid","Full",100,72,11,17,1675,302,5836,"Regular","HardCore","TDM"
"Diesel","Full",95,100,15,14,2700,420,9627,"Regular","HardCore","TDM"
"Diesel","Full",81,100,14,18,2370,397,9872,"Regular","HardCore","TDM"
"Standoff","Full",64,100,16,17,2500,437,7203,"Regular","HardCore","TDM"
"Diesel","Full",100,88,27,11,4530,719,9226,"Regular","HardCore","TDM"
"Express","Full",100,98,23,24,3675,647,26088,"Double","HardCore","TDM"
"Cartel","Full",51,100,17,15,3645,494,8357,"Regular","HardCore","TDM"
"Miami Strike","Partial",100,75,8,4,2040,224,2786,"Regular","HardCore","TDM"
"Cartel","Full",77,87,18,10,4565,500,16881,"Double","HardCore","TDM"
"Hijacked","Full",100,60,12,12,2460,336,17016,"Double","HardCore","TDM"
"Standoff","Full",100,78,17,17,2835,476,17370,"Double","HardCore","TDM"
"Collateral Strike","Full",100,83,27,14,5550,768,19774,"Double","HardCore","TDM"
"Slums","Full",90,100,11,25,2610,300,13824,"Double","HardCore","TDM"
"Jungle","Full",60,99,10,21,1555,278,6553,"Regular","HardCore","TDM"
"The Pines","Full",94,70,19,10,3515,520,21000,"Double","HardCore","TDM"
"Deprogram","Full",100,88,27,15,4840,756,20086,"Double","HardCore","TDM"
"Drive-In","Full",99,99,23,19,3735,602,19967,"Double","HardCore","TDM"
"Moscow","Full",73,97,13,21,2650,364,18739,"Double","HardCore","TDM"
"Apocalypse","Full",100,77,18,10,4320,510,20912,"Double","HardCore","TDM"
"Raid","Full",100,55,24,11,5500,630,17944,"Double","HardCore","TDM"
"Drive-In","Full",100,83,22,12,4930,616,12490,"Regular","HardCore","TDM"
"Deprogram","Partial",91,86,10,9,1855,280,7486,"Regular","HardCore","TDM"
"Rush","Full",100,83,10,17,1560,280,6554,"Regular","HardCore","TDM"
"Express","Full",100,93,9,15,1555,264,5819,"Regular","HardCore","TDM"
"Garrison","Full",100,69,21,6,4185,594,13689,"Regular","HardCore","TDM"
"Drive-In","Partial",70,100,8,12,1470,210,4214,"Regular","HardCore","TDM"
"Yamantau","Full",75,100,18,15,7280,503,35346,"Double","HardCore","TDM"
"Deprogram","Full",87,100,10,19,2420,280,6873,"Regular","HardCore","TDM"
"Zoo","Full",100,84,17,11,3065,476,8410,"Regular","HardCore","TDM"
"Collateral Strike","Full",250,94,7,18,1240,195,10995,"Regular","HardCore","Hardpoint"
"Crossroads Strike","Full",112,250,22,20,2615,618,7200,"Regular","HardCore","Hardpoint"
"Diesel","Full",226,250,39,32,4955,789,12240,"Regular","HardCore","Hardpoint"
"Zoo","Partial",67,100,3,8,575,84,8079,"Regular","HardCore","TDM"
"Raid","Full",100,91,4,16,550,120,4988,"Regular","HardCore","TDM"
"Hijacked","Full",83,100,6,15,1205,139,3807,"Regular","HardCore","TDM"
"Drive-In","Full",100,82,7,13,900,196,8696,"Regular","HardCore","TDM"
"Crossroads Strike","Full",87,100,16,16,3025,470,9761,"Regular","HardCore","TDM"
"The Pines","Full",100,90,19,15,4570,532,14529,"Regular","HardCore","TDM"
"Hijacked","Full",63,100,5,15,1125,140,4122,"Regular","HardCore","TDM"
"Express","Full",74,100,12,22,1700,336,9118,"Regular","HardCore","TDM"
"Diesel","Full",100,85,18,15,3875,504,7935,"Regular","HardCore","TDM"
"Standoff","Full",100,96,17,17,3575,387,12895,"Regular","HardCore","TDM"
"Rush","Full",100,90,10,23,1040,323,8345,"Regular","HardCore","TDM"
"Yamantau","Partial",100,85,4,6,700,112,4797,"Regular","HardCore","TDM"
"Rush","Partial",84,100,15,13,2555,394,9045,"Regular","HardCore","TDM"
"Nuketown '84","Full",100,85,25,13,4765,691,10230,"Regular","HardCore","TDM"
"Zoo","Full",100,79,14,15,2825,399,10811,"Regular","HardCore","TDM"
"WMD","Full",56,100,8,16,1895,200,5311,"Regular","HardCore","TDM"
"Apocalypse","Full",53,100,10,16,2105,279,9090,"Regular","HardCore","TDM"
"Diesel","Full",100,62,26,12,6895,728,16831,"Regular","HardCore","TDM"
"Collateral Strike","Full",100,66,18,14,3770,502,14929,"Double","HardCore","TDM"
"Garrison","Partial",94,100,12,10,2610,336,5189,"Regular","HardCore","TDM"
"WMD","Partial",78,78,6,7,1315,168,9429,"Regular","HardCore","TDM"
"Garrison","Full",100,86,21,19,4710,602,13749,"Regular","HardCore","TDM"
"Deprogram","Full",99,100,14,14,3290,392,10328,"Regular","HardCore","TDM"
"Hijacked","Partial",100,84,10,6,2795,279,6177,"Regular","HardCore","TDM"
"Express","Full",95,96,22,21,3500,603,22161,"Double","HardCore","TDM"
"Crossroads Strike","Full",90,100,13,21,2870,345,12811,"Double","HardCore","TDM"
"Yamantau","Full",100,86,11,17,2440,295,15472,"Double","HardCore","TDM"
"Standoff","Full",94,100,10,24,1475,280,15747,"Double","HardCore","TDM"
"Drive-In","Full",91,57,8,17,700,224,13469,"Double","HardCore","TDM"
"Jungle","Full",97,88,8,14,1480,224,10146,"Regular","HardCore","TDM"
"Amerika","Full",100,48,26,11,6480,706,30977,"Double","HardCore","TDM"
"Echelon","Partial",48,97,3,15,950,84,5949,"Regular","HardCore","TDM"
"Slums","Full",100,85,23,15,3150,599,12756,"Regular","HardCore","TDM"
"Standoff","Full",95,94,27,17,4560,737,23237,"Double","HardCore","TDM"
"Rush","Full",100,82,16,15,2945,426,16409,"Double","HardCore","TDM"
"Drive-In","Full",96,91,20,14,3385,560,16873,"Double","HardCore","TDM"
"Zoo","Full",82,98,19,11,4360,532,20749,"Double","HardCore","TDM"
"Garrison","Partial",53,100,4,10,750,112,8756,"Regular","HardCore","TDM"
"Garrison","Full",91,86,14,16,2490,358,9782,"Regular","HardCore","TDM"
"Apocalypse","Full",100,96,18,13,3125,457,10490,"Regular","HardCore","TDM"
"Moscow","Full",88,83,12,14,2215,284,8934,"Regular","HardCore","TDM"
"WMD","Full",74,65,16,19,2630,403,10139,"Regular","HardCore","TDM"
"WMD","Full",94,88,16,15,2905,458,13815,"Regular","HardCore","TDM"
"Yamantau","Full",59,100,10,18,2080,253,8701,"Regular","HardCore","TDM"
"Nuketown '84","Full",100,84,12,18,1160,303,7497,"Regular","HardCore","TDM"
"Drive-In","Full",95,100,16,15,3485,424,9318,"Regular","HardCore","TDM"
"Collateral Strike","Full",100,98,20,16,3425,506,15416,"Regular","HardCore","TDM"
"Hijacked","Full",100,79,12,14,3195,335,7229,"Regular","HardCore","TDM"
"Raid","Full",60,100,14,20,3125,363,7163,"Regular","HardCore","TDM"
"Express","Full",100,69,25,9,5710,670,12103,"Regular","HardCore","TDM"
"Deprogram","Partial",100,78,11,7,2140,299,6719,"Regular","HardCore","TDM"
"Diesel","Full",100,89,25,13,3880,765,8120,"Regular","HardCore","TDM"
"Express","Full",78,100,9,18,1429,251,13705,"Double","HardCore","TDM"
"Yamantau","Full",100,89,20,14,3760,558,19852,"Double","HardCore","TDM"
"Apocalypse","Partial",91,77,11,18,1475,308,8940,"Regular","HardCore","TDM"
"Amerika","Full",79,100,21,17,3735,587,13247,"Double","HardCore","TDM"
"Garrison","Full",88,84,20,16,4430,529,24428,"Double","HardCore","TDM"
"Crossroads Strike","Full",100,87,23,16,5705,632,13811,"Double","HardCore","TDM"
"Miami Strike","Full",85,87,21,19,3775,569,13009,"Double","HardCore","TDM"
"Cartel","Full",71,84,11,17,2240,307,13356,"Double","HardCore","TDM"
"Amerika","Full",100,68,18,16,3230,504,23104,"Double","HardCore","TDM"
"WMD","Full",45,62,25,19,3555,654,7760,"Regular","HardCore","Kill Confirmed"
"Yamantau","Full",63,65,16,23,2940,437,12290,"Double","HardCore","Kill Confirmed"
"Crossroads Strike","Full",57,65,12,17,2925,330,9533,"Double","HardCore","Kill Confirmed"
"Checkmate","Full",65,42,25,12,7395,710,38416,"Double","HardCore","Kill Confirmed"
"Amerika","Full",65,53,26,19,4030,727,19114,"Double","HardCore","Kill Confirmed"
"Raid","Full",66,100,17,15,4165,476,17268,"Double","HardCore","TDM"
"Apocalypse","Partial",144,250,4,9,505,111,3274,"Regular","HardCore","Hardpoint"
"Collateral Strike","Full",250,248,25,28,3765,646,21228,"Double","HardCore","Hardpoint"
"Miami Strike","Full",250,157,19,18,2895,461,15111,"Double","HardCore","Hardpoint"
"Collateral Strike","Full",163,250,10,18,2150,281,20200,"Double","HardCore","Hardpoint"
"Checkmate","Full",250,87,18,14,3085,521,10264,"Double","HardCore","Hardpoint"
"Slums","Full",250,92,19,19,2650,532,16225,"Double","HardCore","Hardpoint"
"Hijacked","Full",164,211,32,30,4765,824,19123,"Double","HardCore","Hardpoint"
"WMD","Partial",190,243,30,22,3185,830,23337,"Double","HardCore","Hardpoint"
"Miami Strike","Full",250,231,41,22,5235,1091,23476,"Double","HardCore","Hardpoint"
"Miami Strike","Full",100,84,17,14,1990,2626,13963,"Double","Core","TDM"
"Apocalypse","Full",100,95,25,15,3965,2829,27035,"Double","Core","TDM"
"Crossroads Strike","Full",100,80,12,15,1865,1789,7850,"Regular","Core","TDM"
"Hijacked","Full",95,100,10,18,1710,1668,13337,"Double","Core","TDM"
"Moscow","Full",87,93,14,15,2240,1771,16955,"Double","Core","TDM"
"Nuketown '84","Full",100,95,21,13,3065,2951,7263,"Regular","Core","TDM"
"Garrison","Full",94,68,14,14,2090,2213,10200,"Regular","Core","TDM"
"Raid","Partial",187,200,18,23,2370,2239,17468,"Double","Core","Domination"
"Garrison","Full",85,86,24,14,4920,4091,19989,"Double","Core","TDM"
"The Pines","Full",100,72,13,8,2440,1846,15404,"Double","Core","TDM"
"The Pines","Full",100,84,21,18,2690,3262,23621,"Double","Core","TDM"
"Diesel","Full",250,126,30,24,3310,2978,27165,"Double","Core","Hardpoint"
"The Pines","Full",85,73,24,6,6645,3841,33739,"Double","Core","TDM"
"Nuketown '84","Full",100,57,17,4,4730,2170,12702,"Double","Core","TDM"
"Slums","Full",64,250,13,22,1975,1567,8440,"Regular","Core","Hardpoint"
"Raid","Partial",93,83,5,8,550,840,6220,"Double","Core","TDM"
"Raid","Full",100,90,14,17,2765,2011,18291,"Double","Core","TDM"
"Apocalypse","Partial",92,93,12,9,2700,2372,4949,"Regular","Core","TDM"
"Nuketown '84","Full",85,100,20,15,3770,3200,11656,"Double","Core","TDM"
"Checkmate","Full",72,100,20,15,3255,3131,17457,"Double","Core","TDM"
"Garrison","Full",85,74,22,16,4270,3390,18177,"Double","Core","TDM"
"Checkmate","Full",59,100,17,18,3025,3068,24664,"Double","Core","TDM"
"Express","Full",86,100,16,19,1760,2391,14886,"Double","Core","TDM"
"Garrison","Full",250,155,11,19,2890,1959,20386,"Double","Core","Hardpoint"
"Moscow","Full",250,206,34,17,3425,4307,28141,"Double","Core","Hardpoint"
"Cartel","Full",81,92,17,17,2340,2395,21411,"Double","Core","TDM"
"The Pines","Full",78,90,25,13,5385,3665,22259,"Double","Core","TDM"
"Crossroads Strike","Full",92,100,27,16,3520,3321,17591,"Double","Core","TDM"
"Yamantau","Full",64,100,11,22,1660,1321,12177,"Double","Core","TDM"
"Moscow","Full",100,83,18,15,2825,3108,23192,"Double","Core","TDM"
"Raid","Full",86,100,13,12,2760,1978,7623,"Regular","Core","TDM"
"Crossroads Strike","Full",79,100,15,17,2865,2171,11137,"Double","Core","TDM"
"Yamantau","Full",100,97,24,10,5555,3674,23636,"Double","Core","TDM"
"Collateral Strike","Full",100,74,10,8,1685,1290,13174,"Double","Core","TDM"
"The Pines","Full",90,71,6,11,1155,1080,13262,"Double","Core","TDM"
"Diesel","Full",65,100,26,19,4765,3865,15417,"Regular","Core","TDM"
"Moscow","Full",86,83,16,16,2275,2143,9548,"Regular","Core","TDM"
"Checkmate","Full",77,82,7,12,1060,1715,13463,"Double","Core","TDM"
"Garrison","Full",99,76,18,12,2690,2411,20616,"Double","Core","TDM"
"Miami Strike","Full",99,100,11,18,1190,1627,11041,"Double","Core","TDM"
"Cartel","Full",70,100,13,16,1130,1684,15024,"Double","Core","TDM"
"Diesel","Full",100,67,15,18,2085,2351,16834,"Double","Core","TDM"
"Crossroads Strike","Full",100,91,18,13,2445,2459,11992,"Double","Core","TDM"
"Hijacked","Full",95,100,13,15,2480,2247,22686,"Double","Core","TDM"
"Diesel","Full",92,100,19,18,3370,2939,21973,"Double","Core","TDM"
"Raid","Full",82,100,19,10,2685,3038,8873,"Regular","Core","TDM"
"Crossroads Strike","Full",62,65,23,22,2605,3173,16448,"Double","Core","Kill Confirmed"
"Apocalypse","Full",76,100,10,21,1890,1373,13115,"Double","Core","TDM"
"Nuketown '84","Full",100,71,13,12,1970,1904,12479,"Double","Core","TDM"
"The Pines","Full",75,100,11,16,2030,1915,14695,"Double","Core","TDM"
"Amerika","Full",250,216,29,29,3390,3456,23974,"Double","Core","Hardpoint"
"Moscow","Full",84,84,21,19,2140,3432,23619,"Double","Core","TDM"
"Checkmate","Full",80,100,20,15,3245,3298,20408,"Double","Core","TDM"
"Nuketown '84","Full",100,94,24,14,3025,2856,15622,"Double","Core","TDM"
"Crossroads Strike","Full",93,100,23,22,2395,3655,11698,"Regular","Core","TDM"
"Apocalypse","Partial",86,100,7,10,850,867,8719,"Double","Core","TDM"
"Moscow","Full",100,85,12,15,1300,1842,15836,"Double","Core","TDM"
"Crossroads Strike","Full",100,98,26,18,3775,4277,11193,"Regular","Core","TDM"
"Diesel","Full",100,50,9,8,750,1273,13441,"Double","Core","TDM"
"Raid","Full",93,100,17,18,2495,2776,17365,"Double","Core","TDM"
"Raid","Full",91,100,11,13,2110,1514,14386,"Double","Core","TDM"
"Raid","Full",100,76,28,13,5120,3688,32518,"Double","Core","TDM"
"Express","Full",68,100,8,15,850,1460,10253,"Double","Core","TDM"
"Crossroads Strike","Full",100,97,21,13,3690,2548,13990,"Double","Core","TDM"
"Rush","Full",250,124,40,20,4730,4498,26239,"Double","Core","Hardpoint"
"Checkmate","Full",74,100,11,22,1595,1541,16749,"Double","Core","TDM"
"Raid","Full",85,100,17,17,3140,2222,15609,"Double","Core","TDM"
"Crossroads Strike","Full",100,96,24,10,3965,3178,19452,"Double","Core","TDM"
"Moscow","Full",100,92,22,15,4520,3303,19893,"Double","Core","TDM"
"Nuketown '84","Full",100,78,24,13,6520,3469,19769,"Double","Core","TDM"
"Miami Strike","Full",66,100,12,19,2320,2794,8527,"Regular","Core","TDM"
"Garrison","Partial",82,85,20,10,3140,3028,14104,"Double","Core","TDM"
"Crossroads Strike","Partial",70,100,17,18,3465,2480,11950,"Double","Core","TDM"
"Checkmate","Full",81,91,12,20,800,1574,13239,"Double","Core","TDM"
"Cartel","Full",95,75,19,14,3070,3202,25417,"Double","Core","TDM"
"The Pines","Full",84,78,11,9,3290,1847,17399,"Double","Core","TDM"
"Nuketown '84","Full",83,100,13,15,1650,2095,11277,"Double","Core","TDM"
"The Pines","Full",250,30,14,10,2435,1713,6849,"Regular","Core","Hardpoint"
"Nuketown '84","Full",100,98,29,17,5040,3674,13804,"Regular","Core","TDM"
"Nuketown '84","Full",86,100,17,21,2700,2264,11300,"Regular","Core","TDM"
"Nuketown '84","Full",78,100,14,17,1590,1802,13564,"Double","Core","TDM"
"Checkmate","Full",97,89,17,20,1725,2583,18093,"Double","Core","TDM"
"Express","Full",100,65,18,5,3440,2401,17353,"Double","Core","TDM"
"Moscow","Full",87,92,17,13,2185,2708,14997,"Double","Core","TDM"
"The Pines","Full",89,76,15,13,2300,2109,17776,"Double","Core","TDM"
"Nuketown '84","Full",95,100,12,18,1915,1986,9880,"Double","Core","TDM"
"Miami Strike","Full",115,250,10,29,1500,1299,10481,"Double","Core","Hardpoint"
"Moscow","Full",100,95,14,15,2150,1851,18985,"Double","Core","TDM"
"Checkmate","Full",90,83,16,12,2515,2510,21401,"Double","Core","TDM"
"Collateral Strike","Full",80,99,19,18,4225,2786,21833,"Double","Core","TDM"
"Checkmate","Full",99,100,17,15,3100,2695,21053,"Double","Core","TDM"
"Raid","Full",100,94,18,20,2865,2712,15896,"Double","Core","TDM"
"Checkmate","Full",100,68,29,9,4830,3959,11453,"Regular","Core","TDM"
"Express","Full",92,99,18,20,2718,3555,16057,"Double","Core","TDM"
"Moscow","Partial",65,85,6,12,1020,1258,7885,"Double","Core","TDM"
"Miami Strike","Full",84,100,13,14,1990,2050,11502,"Double","Core","TDM"
"Cartel","Full",83,71,9,12,1180,1391,8882,"Regular","Core","TDM"
"Moscow","Full",87,79,28,14,4830,4082,13164,"Regular","Core","TDM"
"Crossroads Strike","Full",68,100,17,18,3970,2531,14693,"Double","Core","TDM"
"Crossroads Strike","Full",199,250,33,21,4560,4677,17275,"Regular","Core","Hardpoint"
"Apocalypse","Partial",100,68,11,4,1935,1729,9175,"Regular","Core","TDM"
"Crossroads Strike","Partial",76,100,13,9,1570,1468,7474,"Double","Core","TDM"
"Cartel","Full",88,67,10,14,1355,1392,9436,"Regular","Core","TDM"
"Express","Full",100,88,14,16,1620,2359,9949,"Double","Core","TDM"
"Hijacked","Full",95,100,12,11,1930,1964,15447,"Double","Core","TDM"
"Garrison","Full",100,95,22,22,2970,2933,24962,"Double","Core","TDM"
"Deprogram","Full",219,250,21,28,2670,2353,21352,"Double","Core","Hardpoint"
"Crossroads Strike","Full",100,86,24,17,4515,3442,17447,"Double","Core","TDM"
"Raid","Full",100,49,18,16,2940,3258,16556,"Double","Core","TDM"
